"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"GJZ644UX","journalArticle","2018","Sarro, Federica; Petrozziello, Alessio","Linear Programming as a Baseline for Software Effort Estimation","ACM Trans. Softw. Eng. Methodol.","","","10.1145/3234940","","","2018","2023-08-26 10:49:46","2023-08-26 10:49:46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UE8G9CFB","journalArticle","2023","Hort, Max; Moussa, Rebecca; Sarro, Federica; Hort, Max; Moussa, Rebecca; Sarro, Federica","Multi-objective search for gender-fair and semantically correct word embeddings","","","","10.1016/J.ASOC.2022.109916","","","2023","2023-08-26 10:49:46","2023-08-26 10:49:46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NGE2E8KZ","journalArticle","2016","Sarro, Federica; Petrozziello, Alessio; Harman, M.","Multi-objective Software Effort Estimation","2016 IEEE/ACM 38th International Conference on Software Engineering (ICSE)","","","10.1145/2884781.2884830","","","2016","2023-08-26 10:49:47","2023-08-26 10:49:47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REQH4HNH","journalArticle","2021","Tawosi, Vali; Sarro, Federica; Petrozziello, Alessio; Harman, M.","Multi-Objective Software Effort Estimation: A Replication Study","IEEE Transactions on Software Engineering","","","10.1109/TSE.2021.3083360","","","2021","2023-08-26 10:49:47","2023-08-26 10:49:47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6B7FUVQU","journalArticle","2023","Lustosa, Andre; Menzies, T.","Optimizing Predictions for Very Small Data Sets: a case study on Open-Source Project Health Prediction","ArXiv","","","10.48550/ARXIV.2301.06577","","","2023","2023-08-26 10:49:47","2023-08-26 10:49:47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5BIMCIGR","journalArticle","2023","Uc-Cetina; Victor","Recent Advances in Software Effort Estimation using Machine Learning","","","","10.48550/ARXIV.2303.03482","","","2023","2023-08-26 10:49:47","2023-08-26 10:49:47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IW326J3A","journalArticle","2002","Boehm, Barry","Software engineering economics","","","","","","","2002","2023-08-26 10:49:47","2023-08-26 10:49:47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MXX23LH9","journalArticle","2022","Pasuksmit, Jirat; Thongtanunam, Patanamon; Karunasekera, Shanika; Pasuksmit, Jirat; Thongtanunam, Patanamon; Karunasekera, Shanika","Story points changes in agile iterative development","","","","10.1007/S10664-022-10192-9","","","2022","2023-08-26 10:49:47","2023-08-26 10:49:47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REHIHBHL","journalArticle","2022","Ali, Asad; Gravino, C.","The Impact of Parameters Optimization in Software Prediction Models","EUROMICRO Conference on Software Engineering and Advanced Applications","","","10.1109/SEAA56994.2022.00041","","","2022","2023-08-26 10:49:47","2023-08-26 10:49:47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DM6BCDR6","journalArticle","2022","Traini; Luca; Cortellessa; Vittorio; Pompeo, Di; Daniele; Tucci; Michele; Traini; Luca; Cortellessa; Vittorio; Pompeo, Di; Daniele; Tucci; Michele","Towards effective assessment of steady state performance in Java software: are we there yet?","","","","10.1007/S10664-022-10247-X","","","2022","2023-08-26 10:49:47","2023-08-26 10:49:47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6NFX6GQG","journalArticle","2001","Kitchenham, B.; Pickard, L.; MacDonell, Stephen G.; Shepperd, M.","What accuracy statistics really measure","IEE Proceedings - Software","","","10.1049/IP-SEN:20010506","","","2001","2023-08-26 10:49:47","2023-08-26 10:49:47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
